<<<<<<< HEAD
name,task_list
Management,Group promotion and management
Creative,Album and music production
Marketing,Marketing and promotions
=======
Legal,Contracts and legal compliance
Talent,Artist recruitment and development
Marketing,Album and merchandise marketing
Digital,Online presence and social media
Touring,Concerts and event planning
HR,Employee and talent relations
Design,Album art and merchandise design
Research,Market research and analysis
>>>>>>> 38453a348f0271f722b5cb4327e75cbfb230e431
